"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13722.58cfa830e4b0c9d6adf6bf00",89193,2789,0,0
"13722.58cfa830e4b0c9d6adf6befe",285391,6146,0,0
"13722.58cfa830e4b0c9d6adf6c294",142752,2787,0,0
"13722.58cfa831e4b0c9d6adf6c480",51834,2082,0,0
"13722.58cfa831e4b0c9d6adf6c8d0",24,4879,0,0
"13722.58cfa831e4b0c9d6adf6c7b4",240690,9209,0,0
"13722.58cfa831e4b0c9d6adf6c77c",71513,7250,0,0
"13722.58cfa82fe4b0c9d6adf6b909",40,3054,0,0
"13722.58cfa82fe4b0c9d6adf6ba1a",185396,2486,0,0
"13722.58cfa830e4b0c9d6adf6bcc0",15,1750,0,0
"13722.58cfa830e4b0c9d6adf6bf02",235339,2366,0,0
"13722.58cfa830e4b0c9d6adf6bef0",159459,2435,0,0
"13722.58cfa830e4b0c9d6adf6c04e",293057,3974,0,0
"13722.58cfa830e4b0c9d6adf6c056",56,7882,0,0
"13722.58cfa830e4b0c9d6adf6c274",14,5725,0,0
"13722.58cfa831e4b0c9d6adf6c414",154126,3404,0,0
"13722.58cfa831e4b0c9d6adf6c41c",239108,4585,0,0
"13722.58cfa831e4b0c9d6adf6c44e",319114,5063,0,1
"13722.58cfa831e4b0c9d6adf6c42e",141010,5987,0,0
"13722.58cfa831e4b0c9d6adf6c442",242791,1912,0,0
"13722.58cfa831e4b0c9d6adf6c483",77301,7321,0,0
"13722.58cfa831e4b0c9d6adf6c736",20,3589,0,0
"13722.58cfa830e4b0c9d6adf6c2d1",229929,8380,0,6
"13722.58cfa831e4b0c9d6adf6c862",13,2787,0,0
"13722.58cfa82fe4b0c9d6adf6b92c",104440,2536,0,0
"13722.58cfa830e4b0c9d6adf6baa0",261310,3623,0,0
"13722.58cfa830e4b0c9d6adf6bbbe",182847,2938,0,12
"13722.58cfa830e4b0c9d6adf6bcba",95402,3286,0,0
"13722.58cfa830e4b0c9d6adf6bcbd",240541,4595,0,0
"13722.58cfa830e4b0c9d6adf6bdf1",161606,6787,0,0
"13722.58cfa830e4b0c9d6adf6bdf8",240730,3566,0,0
"13722.58cfa830e4b0c9d6adf6bf0a",115511,6213,0,1
"13722.58cfa830e4b0c9d6adf6bf06",235576,7466,0,0
"13722.58cfa830e4b0c9d6adf6c196",84205,3101,0,1
"13722.58cfa831e4b0c9d6adf6c56f",179888,1766,0,0
"13722.58cfa831e4b0c9d6adf6c4a8",211450,4635,0,0
"13722.58cfa831e4b0c9d6adf6c416",254560,7522,0,0
"13722.58cfa831e4b0c9d6adf6c7f4",57236,1730,0,0
"13722.58cfa831e4b0c9d6adf6cc42",92625,3476,0,0
"13722.58cfa831e4b0c9d6adf6c824",57593,2916,0,0
"13722.58cfa831e4b0c9d6adf6c80b",227118,7410,0,1
"13722.58cfa830e4b0c9d6adf6ba60",242763,10269,0,2
"13722.58cfa830e4b0c9d6adf6bb7b",30,6126,0,0
"13722.58cfa830e4b0c9d6adf6bcb7",25,5173,0,0
"13722.58cfa830e4b0c9d6adf6bee0",58,8656,0,1
"13722.58cfa830e4b0c9d6adf6bf04",138,6937,0,0
"13722.58cfa830e4b0c9d6adf6bf0c",50,6366,0,1
"13722.58cfa830e4b0c9d6adf6c052",151867,10325,0,1
"13722.58cfa831e4b0c9d6adf6c436",31,9899,0,0
"13722.58cfa831e4b0c9d6adf6c44c",23,2562,0,0
"13722.58cfa831e4b0c9d6adf6c490",211570,3712,0,0
"13722.58cfa831e4b0c9d6adf6c712",22,2154,0,0
"13722.58cfa831e4b0c9d6adf6c78c",39,12084,0,1
"13722.58cfa82fe4b0c9d6adf6ba26",104432,5263,0,0
"13722.58cfa830e4b0c9d6adf6bb82",258020,14544,0,2
"13722.58cfa830e4b0c9d6adf6c046",346475,12296,0,2
"13722.58cfa831e4b0c9d6adf6c430",177628,4940,0,0
"13722.58cfa831e4b0c9d6adf6c41a",80,14702,0,2
"13722.58cfa831e4b0c9d6adf6c78f",215779,6080,0,0
"13722.58cfa831e4b0c9d6adf6c7c6",67,18123,0,0
"13722.58cfa831e4b0c9d6adf6c433",73,10087,0,0
"13722.58cfa82fe4b0c9d6adf6ba25",32,14698,0,0
"13722.58cfa830e4b0c9d6adf6be71",45,19940,0,1
"13722.58cfa830e4b0c9d6adf6bcb3",37,15299,0,2
"13722.58cfa830e4b0c9d6adf6bed5",28,4908,0,1
"13722.58cfa830e4b0c9d6adf6c2a2",23,5478,0,0
"13722.58cfa831e4b0c9d6adf6c418",13,10635,0,0
"13722.58cfa831e4b0c9d6adf6c43a",17,9694,0,0
"13722.58cfa831e4b0c9d6adf6c45e",47,13029,0,1
"13722.58cfa831e4b0c9d6adf6c8a8",39,23799,0,0
"13722.58cfa831e4b0c9d6adf6c8e1",17,3709,0,0
