Model,auroc,aupr,diseaseType
XGBoost,0.49065420560747663,0.06140350877192982,bone 
CatBoost,0.5,0.06140350877192982,bone 
LightGBM,0.5,0.06140350877192982,bone 
Random Forest,0.5,0.06140350877192982,bone 
Fmodel,0.49056603773584906,0.07017543859649122,bone 
XGBoost,0.664717674574006,0.5056943484414601,breast 
CatBoost,0.6540260608085532,0.5031119928424165,breast 
LightGBM,0.631139325091881,0.48808175388255426,breast 
Random Forest,0.6403274306715669,0.47946084724005134,breast 
Fmodel,0.6668918918918919,0.47631578947368425,breast 
XGBoost,0.5667556742323098,0.12406015037593984,gbm 
CatBoost,0.5,0.06140350877192982,gbm 
LightGBM,0.5714285714285714,0.19548872180451127,gbm 
Random Forest,0.6381842456608812,0.23433583959899748,gbm 
Fmodel,0.6574074074074074,0.20175438596491227,gbm 
XGBoost,0.4715909090909091,0.22807017543859648,lung 
CatBoost,0.5,0.22807017543859648,lung 
LightGBM,0.5,0.22807017543859648,lung 
Random Forest,0.534965034965035,0.25120493541546174,lung 
Fmodel,0.5314685314685313,0.24426450742240213,lung 
XGBoost,0.5714285714285714,0.24812030075187969,melanoma 
CatBoost,0.5714285714285714,0.24812030075187969,melanoma 
LightGBM,0.5714285714285714,0.24812030075187969,melanoma 
Random Forest,0.6071428571428571,0.3107769423558897,melanoma 
Fmodel,0.5928571428571427,0.1693519513068385,melanoma 
XGBoost,0.7079365079365079,0.297827903091061,ovary 
CatBoost,0.7174603174603175,0.39941520467836256,ovary 
LightGBM,0.5,0.07894736842105263,ovary 
Random Forest,0.4857142857142857,0.07894736842105263,ovary 
Fmodel,0.6903846153846153,0.3192982456140351,ovary 
XGBoost,0.49537037037037035,0.05263157894736842,pancreas 
CatBoost,0.5,0.05263157894736842,pancreas 
LightGBM,0.5,0.05263157894736842,pancreas 
Random Forest,0.5,0.05263157894736842,pancreas 
Fmodel,0.6296296296296295,0.10175438596491229,pancreas 
